op,device,dtype,n,iters,avg_ns,bandwidth_GBs
gemv,NVIDIA H100 NVL,float32,1000,100,432122,9.284409248336125
gemv,NVIDIA H100 NVL,float32,11000,100,4180036,115.82004931962061
gemv,NVIDIA H100 NVL,float32,21000,100,7941033,222.1690595383756
gemv,NVIDIA H100 NVL,float32,31000,100,11588217,331.7483535584417
gemv,NVIDIA H100 NVL,float32,41000,100,13172251,510.5043545405177
gemv,NVIDIA H100 NVL,float32,51000,100,17074331,609.3715483550411
gemv,NVIDIA H100 NVL,float32,61000,100,21460956,693.5726257797464
gbmv,NVIDIA H100 NVL,float32,1000,100,1034243,0.09282145728875756
gbmv,NVIDIA H100 NVL,float32,11000,100,9281,113.77741001241208
gbmv,NVIDIA H100 NVL,float32,21000,100,9594,210.12519959809384
gbmv,NVIDIA H100 NVL,float32,31000,100,2482049,1.1990092364282519
gbmv,NVIDIA H100 NVL,float32,41000,100,1499260,2.6252941475009908
gbmv,NVIDIA H100 NVL,float32,51000,100,2479931,1.9742480312642177
gbmv,NVIDIA H100 NVL,float32,61000,100,9391,623.5246391255322
ger,NVIDIA H100 NVL,float32,1000,100,12103,661.6049372516296
ger,NVIDIA H100 NVL,float32,11000,100,682816,1417.786684678341
ger,NVIDIA H100 NVL,float32,21000,100,7356476,479.6002614507134
ger,NVIDIA H100 NVL,float32,31000,100,13258216,579.8855557647541
ger,NVIDIA H100 NVL,float32,41000,100,22555417,596.2349431815303
ger,NVIDIA H100 NVL,float32,51000,100,35039932,593.848398483403
ger,NVIDIA H100 NVL,float32,61000,100,49999414,595.3767306707626
sbmv,NVIDIA H100 NVL,float32,1000,100,607655,0.09215754437533873
sbmv,NVIDIA H100 NVL,float32,11000,100,43929,14.022384825230095
sbmv,NVIDIA H100 NVL,float32,21000,100,10747,109.41682506985093
sbmv,NVIDIA H100 NVL,float32,31000,100,2482042,0.6994238975088072
sbmv,NVIDIA H100 NVL,float32,41000,100,1824169,1.2586549315001996
sbmv,NVIDIA H100 NVL,float32,51000,100,10944,260.94607571273633
sbmv,NVIDIA H100 NVL,float32,61000,100,2486585,1.3737711835938777
symv,NVIDIA H100 NVL,float32,1000,100,2185410,1.8358104992391018
symv,NVIDIA H100 NVL,float32,11000,100,6697630,72.28407369223144
symv,NVIDIA H100 NVL,float32,21000,100,11578031,152.37927037778712
symv,NVIDIA H100 NVL,float32,31000,100,6752240,569.3476358122633
symv,NVIDIA H100 NVL,float32,41000,100,20779385,323.61361651487783
symv,NVIDIA H100 NVL,float32,51000,100,11365679,915.4412592954021
symv,NVIDIA H100 NVL,float32,61000,100,13820837,1076.9775897064576
syr,NVIDIA H100 NVL,float32,1000,100,2999045,1.3350914126486866
syr,NVIDIA H100 NVL,float32,11000,100,20427536,23.695661980581946
syr,NVIDIA H100 NVL,float32,21000,100,53444901,33.007526291690205
syr,NVIDIA H100 NVL,float32,31000,100,109044001,35.252961744953254
syr,NVIDIA H100 NVL,float32,41000,100,175872999,38.23306600551086
syr,NVIDIA H100 NVL,float32,51000,100,177271104,58.69091888723263
syr,NVIDIA H100 NVL,float32,61000,100,313525100,47.473851294088156
syr2,NVIDIA H100 NVL,float32,1000,100,2991247,1.3399092388005702
syr2,NVIDIA H100 NVL,float32,11000,100,16563812,29.22563852888215
syr2,NVIDIA H100 NVL,float32,21000,100,31360882,56.25377489780975
syr2,NVIDIA H100 NVL,float32,31000,100,61362158,62.64851366106043
syr2,NVIDIA H100 NVL,float32,41000,100,65337907,102.91618186859549
syr2,NVIDIA H100 NVL,float32,51000,100,82701155,125.80728724112517
syr2,NVIDIA H100 NVL,float32,61000,100,102071191,145.82457439354798
trsv,NVIDIA H100 NVL,float32,1000,100,72924497,0.027535328392323706
trsv,NVIDIA H100 NVL,float32,11000,100,8425512151,0.02873273406535949
