op,device,dtype,n,iters,avg_ns,bandwidth_GBs
asum,NVIDIA A100-PCIE-40GB,float32,1000,100,16261,0.24598642400925894
asum,NVIDIA A100-PCIE-40GB,float32,2000,100,16347,0.4893597889391231
asum,NVIDIA A100-PCIE-40GB,float32,3000,100,16639,0.7211785499863878
asum,NVIDIA A100-PCIE-40GB,float32,4000,100,16404,0.9753266734776981
asum,NVIDIA A100-PCIE-40GB,float32,5000,100,16319,1.22551122200626
asum,NVIDIA A100-PCIE-40GB,float32,6000,100,16296,1.4727305528998678
asum,NVIDIA A100-PCIE-40GB,float32,7000,100,16226,1.7255755564827102
asum,NVIDIA A100-PCIE-40GB,float32,8000,100,16546,1.9339834741112136
asum,NVIDIA A100-PCIE-40GB,float32,9000,100,16314,2.2065962517285005
asum,NVIDIA A100-PCIE-40GB,float32,10000,100,16316,2.451525676360612
asum,NVIDIA A100-PCIE-40GB,float32,11000,100,16400,2.6828237695747053
asum,NVIDIA A100-PCIE-40GB,float32,12000,100,16084,2.9841949574565705
asum,NVIDIA A100-PCIE-40GB,float32,13000,100,16239,3.2020650856675568
asum,NVIDIA A100-PCIE-40GB,float32,14000,100,16259,3.4441403487192104
asum,NVIDIA A100-PCIE-40GB,float32,15000,100,16137,3.718036504921751
asum,NVIDIA A100-PCIE-40GB,float32,16000,100,16239,3.9411075374297453
asum,NVIDIA A100-PCIE-40GB,float32,17000,100,16376,4.152207722739993
asum,NVIDIA A100-PCIE-40GB,float32,18000,100,16433,4.3813742910692985
asum,NVIDIA A100-PCIE-40GB,float32,19000,100,16200,4.691247983072002
asum,NVIDIA A100-PCIE-40GB,float32,20000,100,16371,4.886418261522327
asum,NVIDIA A100-PCIE-40GB,float32,21000,100,16373,5.130272270878376
asum,NVIDIA A100-PCIE-40GB,float32,22000,100,16892,5.2093076119823545
asum,NVIDIA A100-PCIE-40GB,float32,23000,100,16657,5.523170299752058
asum,NVIDIA A100-PCIE-40GB,float32,24000,100,16730,5.738126262686638
asum,NVIDIA A100-PCIE-40GB,float32,25000,100,16539,6.045971146207302
asum,NVIDIA A100-PCIE-40GB,float32,26000,100,16923,6.145162929540979
asum,NVIDIA A100-PCIE-40GB,float32,27000,100,16939,6.375687378795527
asum,NVIDIA A100-PCIE-40GB,float32,28000,100,16631,6.7340107828347655
asum,NVIDIA A100-PCIE-40GB,float32,29000,100,16723,6.936230923870083
asum,NVIDIA A100-PCIE-40GB,float32,30000,100,16932,7.087063392600871
asum,NVIDIA A100-PCIE-40GB,float32,31000,100,16700,7.424994086950274
asum,NVIDIA A100-PCIE-40GB,float32,32000,100,16674,7.676235574074473
asum,NVIDIA A100-PCIE-40GB,float32,33000,100,17009,7.760309895041808
asum,NVIDIA A100-PCIE-40GB,float32,34000,100,16397,8.293704468477214
asum,NVIDIA A100-PCIE-40GB,float32,35000,100,16392,8.540465028320792
asum,NVIDIA A100-PCIE-40GB,float32,36000,100,16525,8.71371102429673
asum,NVIDIA A100-PCIE-40GB,float32,37000,100,16466,8.988163560284464
asum,NVIDIA A100-PCIE-40GB,float32,38000,100,16432,9.24974806607241
asum,NVIDIA A100-PCIE-40GB,float32,39000,100,16507,9.450352934334587
asum,NVIDIA A100-PCIE-40GB,float32,40000,100,16765,9.543185598855773
asum,NVIDIA A100-PCIE-40GB,float32,41000,100,17186,9.542412240354745
asum,NVIDIA A100-PCIE-40GB,float32,42000,100,16822,9.98664880166159
asum,NVIDIA A100-PCIE-40GB,float32,43000,100,16602,10.359972919512646
asum,NVIDIA A100-PCIE-40GB,float32,44000,100,16936,10.391953793594542
asum,NVIDIA A100-PCIE-40GB,float32,45000,100,16631,10.822562879090329
asum,NVIDIA A100-PCIE-40GB,float32,46000,100,16565,11.107522630068186
asum,NVIDIA A100-PCIE-40GB,float32,47000,100,16878,11.138212778966313
asum,NVIDIA A100-PCIE-40GB,float32,48000,100,16648,11.532889156921776
asum,NVIDIA A100-PCIE-40GB,float32,49000,100,16757,11.696415943647144
asum,NVIDIA A100-PCIE-40GB,float32,50000,100,16782,11.917346054703003
asum,NVIDIA A100-PCIE-40GB,float32,51000,100,16703,12.213294410442126
asum,NVIDIA A100-PCIE-40GB,float32,52000,100,16824,12.363202354714542
asum,NVIDIA A100-PCIE-40GB,float32,53000,100,17131,12.375190078833464
asum,NVIDIA A100-PCIE-40GB,float32,54000,100,16764,12.88463775377815
asum,NVIDIA A100-PCIE-40GB,float32,55000,100,16742,13.139929498305547
asum,NVIDIA A100-PCIE-40GB,float32,56000,100,19989,11.206135359109112
asum,NVIDIA A100-PCIE-40GB,float32,57000,100,19955,11.425261252629564
asum,NVIDIA A100-PCIE-40GB,float32,58000,100,19826,11.701398468428165
asum,NVIDIA A100-PCIE-40GB,float32,59000,100,20043,11.77440244907571
asum,NVIDIA A100-PCIE-40GB,float32,60000,100,20238,11.858439874004077
asum,NVIDIA A100-PCIE-40GB,float32,61000,100,20322,12.006302324597272
asum,NVIDIA A100-PCIE-40GB,float32,62000,100,20309,12.211202596653145
asum,NVIDIA A100-PCIE-40GB,float32,63000,100,20312,12.406434804185103
asum,NVIDIA A100-PCIE-40GB,float32,64000,100,20422,12.53550093036921
asum,NVIDIA A100-PCIE-40GB,float32,65000,100,20025,12.983627645538975
asum,NVIDIA A100-PCIE-40GB,float32,66000,100,20232,13.04828111137746
asum,NVIDIA A100-PCIE-40GB,float32,67000,100,20002,13.398539559188048
asum,NVIDIA A100-PCIE-40GB,float32,68000,100,19990,13.606442650595058
asum,NVIDIA A100-PCIE-40GB,float32,69000,100,20261,13.621813063318728
asum,NVIDIA A100-PCIE-40GB,float32,70000,100,20196,13.86363726387255
asum,NVIDIA A100-PCIE-40GB,float32,71000,100,19333,14.689293005362108
