op,device,dtype,n,iters,avg_ns,bandwidth_GBs
asum,NVIDIA H100 NVL,float32,1000,100,2478837,0.0016136596287574317
asum,NVIDIA H100 NVL,float32,2000,100,1303084,0.006139280663247364
asum,NVIDIA H100 NVL,float32,3000,100,8468,1.4170226936184385
asum,NVIDIA H100 NVL,float32,4000,100,8621,1.8558965894420363
asum,NVIDIA H100 NVL,float32,5000,100,8557,2.3370847438613547
asum,NVIDIA H100 NVL,float32,6000,100,8591,2.79360172085866
asum,NVIDIA H100 NVL,float32,7000,100,8528,3.28300948789742
asum,NVIDIA H100 NVL,float32,8000,100,8553,3.741307306305506
asum,NVIDIA H100 NVL,float32,9000,100,8534,4.21809421816452
asum,NVIDIA H100 NVL,float32,10000,100,8664,4.616613344782534
asum,NVIDIA H100 NVL,float32,11000,100,8585,5.125182584629577
asum,NVIDIA H100 NVL,float32,12000,100,8500,5.646421110086391
asum,NVIDIA H100 NVL,float32,13000,100,8506,6.112785596396278
asum,NVIDIA H100 NVL,float32,14000,100,8531,6.563940990170499
asum,NVIDIA H100 NVL,float32,15000,100,8480,7.074670791985814
asum,NVIDIA H100 NVL,float32,16000,100,8441,7.581986148659055
asum,NVIDIA H100 NVL,float32,17000,100,8504,7.995616520825053
asum,NVIDIA H100 NVL,float32,18000,100,8766,8.212934002231181
asum,NVIDIA H100 NVL,float32,19000,100,9586,7.927509187044363
asum,NVIDIA H100 NVL,float32,20000,100,9066,8.823827864766013
asum,NVIDIA H100 NVL,float32,21000,100,9156,9.174251806999955
asum,NVIDIA H100 NVL,float32,22000,100,9018,9.75765532413157
asum,NVIDIA H100 NVL,float32,23000,100,9118,10.089411929852268
asum,NVIDIA H100 NVL,float32,24000,100,9309,10.311969296111421
asum,NVIDIA H100 NVL,float32,25000,100,2260000,0.04424776920668007
asum,NVIDIA H100 NVL,float32,26000,100,2454263,0.04237524614466446
asum,NVIDIA H100 NVL,float32,27000,100,209727,0.5149536582236359
asum,NVIDIA H100 NVL,float32,28000,100,21167,5.291040284657967
asum,NVIDIA H100 NVL,float32,29000,100,140038,0.8283454086099363
asum,NVIDIA H100 NVL,float32,30000,100,9052,13.25634343650819
asum,NVIDIA H100 NVL,float32,31000,100,9207,13.467486880061168
asum,NVIDIA H100 NVL,float32,32000,100,9330,13.718200300728672
asum,NVIDIA H100 NVL,float32,33000,100,10293,12.823028605068206
asum,NVIDIA H100 NVL,float32,34000,100,10357,13.130492963117797
asum,NVIDIA H100 NVL,float32,35000,100,10507,13.3242221033617
asum,NVIDIA H100 NVL,float32,36000,100,10442,13.78916745986299
asum,NVIDIA H100 NVL,float32,37000,100,10379,14.259040520724746
asum,NVIDIA H100 NVL,float32,38000,100,1250380,0.12156296900213069
asum,NVIDIA H100 NVL,float32,39000,100,2465982,0.06326079700307327
asum,NVIDIA H100 NVL,float32,40000,100,770637,0.20762036015047441
asum,NVIDIA H100 NVL,float32,41000,100,10069,16.28685521680883
asum,NVIDIA H100 NVL,float32,42000,100,10228,16.424888398749363
asum,NVIDIA H100 NVL,float32,43000,100,10197,16.866416023879705
asum,NVIDIA H100 NVL,float32,44000,100,10273,17.130654332595547
